epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9416,2.25787,4.17135,2.40187,0.00164,0.12222,0.02316,0.0074,2.70762,4.3749,3.08644,7.145e-05,7.145e-05,7.145e-05
2,34.5297,2.45593,4.09278,2.30161,0.00305,0.21667,0.03652,0.00956,2.61046,4.20459,2.66955,0.000126066,0.000126066,0.000126066
3,49.817,2.01601,3.54712,1.89249,0.00492,0.3,0.04875,0.01491,2.5139,3.9889,2.44677,0.00014673,0.00014673,0.00014673
4,64.0576,2.21224,3.54704,1.91424,0.00551,0.33333,0.08488,0.03512,2.52107,3.91436,2.35983,0.00013344,0.00013344,0.00013344
5,78.552,2.06742,3.2873,1.83167,0.00667,0.36111,0.103,0.03869,2.43436,3.89146,2.2869,8.61973e-05,8.61973e-05,8.61973e-05
